frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
99,96.58,71.1,126.2,123.74,114.0,47.4,126.98,141.21
100,102.87,76.3,129.13,124.15,111.38,27.89,129.64,142.58
101,41.25,76.72,132.12,127.79,45.05,5.08,133.97,143.87
102,,78.71,129.99,128.73,,2.66,132.58,143.48
103,,105.83,134.22,135.14,,43.03,138.39,147.38
104,,105.06,132.89,136.66,,44.88,138.28,148.4
105,,120.47,132.83,138.17,,63.34,137.05,146.48
106,,120.58,131.49,139.0,,64.66,136.58,145.79
107,,96.02,131.08,142.12,,53.67,136.9,151.06
108,,84.51,132.58,143.17,,52.82,138.44,153.09
109,,94.59,133.93,144.45,,42.42,140.89,154.72
110,,97.22,132.96,145.47,,35.39,141.86,157.62
111,,90.94,132.27,145.95,,32.92,141.93,158.59
112,,77.85,130.51,144.56,,24.6,141.67,157.53
113,,78.75,128.14,145.22,,20.12,140.76,158.04
114,,83.95,135.96,144.94,,18.02,144.74,156.69
115,,85.71,139.21,144.62,,18.24,145.79,156.69
116,,81.95,126.75,143.14,,13.52,139.66,156.0
117,,78.63,124.44,142.23,,10.42,138.6,155.76
118,,72.96,120.71,140.1,,12.86,134.43,156.72
119,,70.13,122.42,138.26,,29.05,134.73,156.68
120,,65.3,123.38,137.43,,33.88,135.37,157.28
121,,54.75,121.38,137.29,,40.2,139.39,157.83
122,,53.45,121.68,138.2,,41.8,139.4,158.54
123,,42.96,121.23,138.24,,47.42,139.75,158.41
124,,39.25,122.6,138.74,,49.76,139.62,158.62
125,,31.47,120.56,139.28,,56.87,137.65,156.95
126,,31.41,120.12,139.86,,60.3,137.85,156.89
127,,31.38,120.45,138.43,,64.02,137.47,155.19
128,,30.96,119.92,138.05,,65.17,136.39,154.67
129,,31.27,119.86,138.37,,67.91,138.0,154.96
130,,31.38,118.33,138.14,,69.04,139.06,154.48
