frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
0,29.16,7.73,173.0,133.07,15.16,7.45,161.59,165.83
1,31.47,8.62,173.81,146.17,15.3,9.04,160.24,168.48
2,32.49,10.68,173.72,170.19,15.22,11.49,160.19,175.96
3,32.84,13.27,173.05,175.12,15.15,12.66,160.39,172.6
4,32.72,16.31,173.45,173.99,14.57,13.91,160.45,171.67
5,32.7,16.99,173.82,165.86,14.09,13.81,160.27,173.8
6,32.31,17.24,174.11,159.04,13.63,13.58,160.11,174.03
7,32.09,14.86,173.78,147.2,13.62,11.3,160.28,175.93
8,32.02,13.63,173.65,134.27,13.57,10.05,160.44,176.38
9,31.49,13.0,173.89,139.26,13.6,9.86,160.51,176.12
10,31.37,13.6,174.19,143.91,13.56,9.81,160.37,175.71
11,31.14,15.99,174.61,146.12,13.45,10.48,160.01,175.51
12,31.04,17.0,174.76,159.93,13.48,12.34,159.86,174.6
13,31.07,16.65,174.96,151.75,13.4,12.56,159.69,174.84
14,31.75,16.36,175.35,148.16,13.34,12.53,159.78,174.51
15,32.87,15.24,175.37,148.73,13.18,12.97,159.79,174.45
16,33.78,14.56,175.89,154.95,12.83,13.94,159.61,173.85
17,33.38,13.33,176.33,138.14,12.78,15.31,159.64,174.18
18,34.39,12.65,176.12,137.8,12.84,17.41,159.73,178.07
19,34.82,13.01,175.92,124.25,12.76,19.44,159.87,180.0
20,34.84,13.27,175.23,125.09,12.28,21.2,160.08,178.69
21,34.0,14.04,172.72,98.74,11.8,22.34,161.29,175.72
22,34.83,15.73,168.94,91.99,11.46,22.96,162.74,173.54
23,35.48,16.45,162.73,154.99,12.29,23.67,165.42,174.58
24,36.37,18.4,156.27,167.15,16.43,25.73,168.08,176.9
25,38.28,16.99,153.78,159.64,19.96,23.6,169.44,179.37
26,43.36,20.75,155.44,137.2,20.02,21.92,170.87,166.09
27,79.22,8.57,154.24,116.04,7.7,11.58,172.06,153.87
28,140.42,1.05,151.89,106.92,8.89,7.63,174.35,153.04
29,115.96,90.79,151.32,131.5,8.26,4.69,174.55,156.48
30,89.89,7.19,152.17,103.83,5.94,8.17,173.91,161.21
31,67.26,54.64,153.61,108.44,18.4,21.5,172.86,162.68
32,50.67,29.84,154.27,127.44,19.08,14.91,171.37,178.45
33,35.69,32.45,158.06,147.64,17.46,16.69,169.51,175.02
34,29.51,36.88,160.79,149.99,18.42,22.27,167.7,175.61
35,22.06,43.62,161.65,125.17,16.13,28.02,167.03,176.61
36,14.71,46.49,161.49,127.96,14.9,30.23,167.5,176.83
