frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
37,11.94,41.96,162.76,114.6,13.37,29.86,167.05,179.9
38,13.71,41.74,166.07,127.8,12.12,28.64,166.35,179.84
39,16.03,37.21,168.58,122.45,12.15,26.48,166.33,178.7
40,18.41,32.46,169.31,126.21,12.34,25.25,166.07,178.2
41,19.97,29.81,171.35,119.68,12.86,24.91,165.37,177.09
42,21.23,28.43,172.13,116.05,13.02,24.91,165.12,176.63
43,23.19,28.48,171.98,108.8,13.39,26.28,165.34,177.24
44,27.49,32.51,171.49,109.95,13.58,28.5,165.64,177.92
45,28.55,35.89,170.63,122.63,12.91,31.38,166.13,178.11
46,29.32,36.55,168.04,111.82,12.68,31.55,166.78,178.05
47,28.97,35.71,165.32,109.71,12.7,31.16,167.11,178.63
48,29.37,25.59,163.16,119.48,14.17,30.03,167.56,179.65
49,31.1,18.45,161.68,117.33,16.83,24.39,168.5,179.77
50,38.33,12.89,162.05,121.61,17.87,17.14,169.61,178.97
51,71.04,5.56,161.65,111.9,18.12,10.65,170.41,179.9
52,122.96,1.86,161.25,106.07,15.6,3.82,171.01,171.86
53,124.35,3.3,160.55,99.31,14.76,2.2,172.72,158.01
54,112.09,2.39,160.08,105.55,15.53,1.97,173.19,158.0
55,73.24,6.77,160.62,108.59,21.93,6.8,172.46,159.62
56,55.2,8.85,160.77,117.9,21.95,11.01,170.36,179.99
57,45.76,22.42,161.79,142.4,21.32,14.93,168.7,174.17
58,40.65,35.97,162.33,158.24,18.71,19.21,167.42,170.74
59,36.67,45.87,162.75,156.35,17.64,25.09,167.29,172.07
60,29.91,45.62,162.53,158.85,11.88,28.93,167.02,173.14
61,23.21,40.63,162.33,101.66,8.77,29.87,166.87,175.05
62,21.55,38.0,163.22,109.25,6.84,29.97,166.28,177.63
63,20.87,29.43,165.75,59.56,5.26,30.43,166.33,178.56
64,20.73,29.04,168.05,117.67,4.66,25.78,166.21,177.42
65,20.39,23.23,170.16,109.97,4.56,18.9,166.43,178.36
66,22.31,18.29,171.55,115.21,4.32,10.22,167.36,179.58
67,24.26,20.81,171.45,116.67,4.35,4.98,168.36,178.87
68,26.7,20.29,171.21,101.38,3.75,2.62,168.67,178.47
69,27.53,16.85,170.89,69.67,2.68,0.02,170.68,176.32
70,28.66,17.55,170.92,80.91,1.55,0.33,172.27,164.8
71,30.55,17.33,170.03,77.96,0.15,2.43,173.38,158.23
72,31.58,11.44,174.11,74.98,1.31,3.58,171.98,157.47
73,30.09,5.88,176.67,46.46,0.16,7.59,171.27,155.93
74,28.15,6.43,178.91,35.04,2.72,9.31,170.22,156.44
75,20.31,1.88,175.25,21.51,8.52,14.91,171.98,158.31
76,13.14,15.03,173.8,4.05,12.88,18.77,173.21,160.62
77,10.9,25.79,171.99,0.47,16.12,19.92,174.25,158.21
78,7.79,70.63,172.94,2.74,15.79,1.02,176.67,155.58
79,8.75,157.12,172.86,1.37,15.95,0.93,176.6,157.23
80,9.92,143.91,174.25,0.46,16.78,5.22,176.76,158.18
81,11.73,103.84,174.9,4.65,14.69,14.91,174.89,156.89
82,13.66,67.71,177.92,11.64,13.9,21.43,175.32,155.43
83,19.16,39.04,179.57,29.68,13.62,23.64,175.08,154.81
84,22.57,1.26,177.54,31.21,13.93,22.33,174.27,155.22
85,21.12,4.31,176.18,33.73,16.28,18.31,171.09,159.06
86,22.57,6.68,174.08,37.84,15.03,16.13,168.56,161.79
87,25.57,1.52,172.99,35.76,12.68,15.06,167.55,162.7
88,27.24,2.6,171.24,35.2,11.12,17.0,169.12,165.97
89,27.15,6.79,171.01,50.81,10.11,18.92,168.76,167.83
90,28.23,13.67,170.66,79.3,8.77,20.72,169.82,174.64
91,30.45,22.91,170.9,113.12,7.99,21.33,169.38,175.86
92,31.66,29.29,171.16,117.83,7.96,20.85,169.16,175.88
93,32.9,34.33,171.27,118.37,8.16,20.57,169.66,176.15
94,34.3,28.49,171.64,118.27,8.17,19.68,170.21,176.1
95,35.54,24.33,171.41,112.86,7.94,19.5,170.77,176.24
96,33.93,21.44,172.42,100.65,7.97,18.72,170.83,170.8
97,34.66,21.7,172.02,80.05,8.26,17.19,172.9,166.25
98,34.5,11.77,173.66,65.59,8.36,12.83,173.85,155.8
99,33.17,6.97,174.16,58.93,8.1,10.86,174.18,152.34
100,30.99,2.76,173.4,45.91,7.87,11.18,174.72,153.24
101,25.16,1.63,174.25,44.26,7.93,11.49,175.01,156.12
102,20.33,5.64,177.56,16.56,12.5,14.94,175.6,156.51
103,13.4,19.98,177.69,0.24,19.11,16.03,176.42,156.09
104,9.19,34.6,173.14,3.53,23.16,11.96,177.78,154.78
105,4.56,74.03,172.85,3.79,23.17,2.93,179.65,153.46
106,5.49,142.57,171.88,22.66,22.61,7.39,179.19,155.62
107,5.04,142.03,171.75,29.68,22.63,6.11,179.4,157.35
108,9.74,89.11,171.59,27.71,21.92,2.01,179.72,158.0
109,10.3,61.22,172.25,23.13,21.48,12.01,178.11,156.42
110,10.72,44.42,171.83,24.7,20.45,16.24,174.74,157.96
111,7.52,31.12,173.2,27.06,20.02,16.42,171.12,159.41
112,4.04,18.33,175.58,32.25,20.8,14.73,170.49,158.48
113,5.69,17.1,178.04,33.81,21.19,13.21,170.35,158.64
114,8.46,15.52,177.87,43.21,20.49,12.82,171.33,158.77
115,13.77,7.59,174.76,51.44,18.47,13.02,171.87,157.74
116,19.78,0.73,173.88,50.97,15.64,13.84,171.59,161.29
117,22.22,2.17,174.04,72.3,14.41,15.5,169.08,164.73
118,21.1,3.45,172.82,130.11,13.47,16.87,168.49,175.57
119,21.08,2.42,171.22,125.23,13.33,17.49,167.83,178.54
120,21.52,3.02,170.3,127.69,13.69,17.6,167.36,177.85
121,21.61,2.48,171.06,152.63,13.89,16.97,166.83,176.56
122,21.06,1.71,173.81,160.76,13.82,16.6,165.49,175.24
123,22.68,2.19,175.37,126.41,13.64,13.42,165.11,169.11
124,25.49,1.89,175.04,122.69,13.56,10.01,165.57,164.24
125,29.97,4.02,172.91,117.61,13.96,7.91,166.5,165.27
126,31.2,7.97,168.21,151.02,18.86,8.34,167.86,172.84
127,20.0,17.27,158.19,168.88,29.77,9.14,169.96,172.24
128,75.21,22.16,141.9,145.58,38.25,7.8,175.46,150.81
129,42.99,34.89,136.19,144.52,48.09,7.57,179.07,152.52
130,40.92,64.52,133.29,139.33,59.65,10.44,178.66,152.45
131,39.24,69.93,132.38,138.87,63.16,9.07,179.53,155.74
132,37.49,74.96,133.5,138.83,64.45,10.4,178.85,153.01
133,36.67,84.22,136.6,134.85,64.86,12.4,179.61,152.36
134,39.88,86.97,138.25,123.63,60.8,13.66,178.9,147.66
135,41.5,81.17,142.26,116.97,55.94,14.4,177.56,144.73
136,38.11,76.62,144.94,119.23,56.02,13.42,177.71,146.44
137,33.24,73.63,147.27,125.53,59.42,14.08,176.98,153.43
138,32.81,72.14,149.55,122.25,58.87,16.71,175.85,162.67
139,32.6,68.1,152.34,130.45,55.39,19.08,173.56,164.67
140,26.53,55.09,156.69,153.42,48.19,21.02,170.98,169.72
141,16.33,34.53,159.91,163.21,34.48,21.27,169.42,172.54
142,19.72,23.66,164.85,140.73,24.71,20.35,167.26,173.45
143,18.81,14.84,168.3,127.8,18.44,19.64,165.53,175.78
144,16.59,8.66,170.74,94.48,17.3,18.27,164.36,175.98
145,12.81,4.97,171.83,94.1,18.08,17.0,163.67,171.93
146,11.65,2.44,172.71,89.51,18.29,16.64,163.09,170.04
147,16.36,1.73,173.4,81.12,17.6,14.88,163.59,168.51
148,14.08,0.41,174.72,71.85,17.85,11.63,163.35,167.78
149,18.51,0.7,174.96,73.74,15.91,9.45,163.26,167.77
150,20.34,0.63,174.15,77.35,16.37,7.49,163.45,167.48
151,51.71,1.56,171.98,92.0,10.3,7.0,163.77,173.17
152,61.21,1.46,162.19,101.03,8.81,7.9,167.48,179.79
153,70.19,8.69,147.24,126.66,24.39,10.82,173.03,172.38
154,38.23,21.25,138.09,150.94,40.43,14.84,179.63,163.45
155,31.15,45.83,136.17,142.41,50.73,16.28,179.42,154.8
156,26.88,61.39,134.95,129.6,52.38,22.17,179.35,151.8
157,30.61,69.08,133.87,134.93,53.73,20.28,177.79,150.89
158,37.62,79.3,135.23,134.66,51.33,20.35,177.29,152.07
159,47.4,76.64,137.04,135.02,43.01,19.95,178.73,153.45
160,49.79,75.26,136.35,127.22,38.34,19.28,177.67,145.32
161,42.43,73.69,135.83,129.59,47.54,21.11,176.49,148.44
162,35.18,72.12,138.07,129.44,49.06,22.74,177.51,149.7
163,25.82,71.33,141.66,133.89,47.26,20.14,179.52,153.22
164,10.49,70.68,145.08,138.53,40.58,18.7,177.09,156.73
165,0.13,64.41,147.11,166.31,32.95,15.8,177.03,171.57
166,2.84,55.57,153.24,172.5,25.47,12.43,174.35,176.92
167,16.81,49.12,157.71,179.64,20.71,10.66,172.04,179.32
168,8.21,40.89,163.3,170.36,17.17,10.78,169.26,175.6
169,5.43,32.56,168.39,162.76,18.55,13.99,167.21,178.25
170,13.78,26.86,171.04,132.31,18.3,15.39,166.59,179.47
171,20.99,26.38,173.44,141.43,18.13,16.38,165.69,176.24
172,24.97,25.43,175.69,133.68,17.73,17.41,165.27,174.63
173,27.99,26.39,176.2,99.35,16.15,17.04,165.96,175.31
174,29.98,31.09,176.03,129.5,13.46,13.94,166.22,175.28
175,32.78,40.24,175.64,130.32,10.97,12.15,166.9,172.9
176,32.4,61.57,174.34,82.59,9.41,9.03,169.14,171.58
177,31.94,80.39,172.64,72.55,7.82,4.73,171.4,165.43
178,31.95,79.88,170.69,64.7,6.36,0.58,173.9,154.04
179,32.47,82.55,169.14,56.88,4.6,0.17,175.37,154.24
180,34.91,94.32,170.85,48.29,2.68,3.54,173.66,154.3
181,31.81,129.88,173.18,41.25,2.24,17.62,171.34,154.73
182,22.7,162.76,176.73,18.89,6.63,43.68,169.66,159.25
183,15.12,136.43,177.94,8.17,11.71,63.7,168.07,163.47
184,5.71,53.7,176.58,1.84,15.21,67.43,167.71,166.92
185,0.9,34.01,177.28,1.05,18.64,65.29,169.2,167.7
186,0.75,35.3,178.55,0.6,18.35,58.44,170.74,166.81
187,5.48,42.97,176.7,9.15,19.9,38.49,167.82,167.57
188,11.3,47.89,179.19,16.9,18.33,22.48,167.89,166.35
189,11.32,42.78,178.79,29.97,19.2,21.49,166.14,165.44
190,3.96,38.22,176.86,32.21,19.81,28.19,165.84,163.84
191,0.28,39.12,176.32,40.88,18.99,37.83,165.34,163.84
192,1.82,42.9,174.55,38.56,18.45,41.75,164.75,164.75
193,171.95,43.68,173.59,39.23,18.54,40.38,164.5,165.28
194,13.25,32.7,174.37,43.95,16.88,38.23,164.34,165.14
195,14.08,28.64,173.97,46.65,14.64,36.61,164.93,164.95
196,16.4,15.11,173.73,84.63,15.04,33.55,164.2,166.03
197,23.21,1.19,173.76,113.54,14.03,30.44,163.26,168.81
198,27.34,1.86,173.18,78.46,12.83,27.59,163.62,170.44
199,28.32,9.79,173.1,84.42,10.95,26.97,164.59,170.87
200,28.17,13.24,173.7,121.14,10.54,26.44,165.25,173.38
201,28.39,21.4,174.76,105.09,10.17,25.15,164.49,176.32
202,29.79,18.35,175.13,102.96,9.44,24.93,164.69,175.78
203,31.1,14.79,175.61,93.38,9.28,25.3,164.43,173.75
204,33.06,22.69,176.14,88.8,8.1,22.93,164.47,174.01
205,33.73,77.21,175.88,86.61,6.86,20.22,166.94,165.83
206,32.08,102.36,174.23,76.52,5.36,12.87,170.2,153.78
207,32.32,107.72,173.07,63.47,3.68,9.36,171.92,151.75
208,33.97,108.91,174.22,48.04,2.02,4.96,171.8,151.93
209,26.7,126.61,178.17,35.2,4.6,9.7,170.4,155.68
210,17.8,145.17,176.85,21.01,10.38,24.08,168.48,160.86
211,9.73,131.33,172.75,0.62,16.78,46.19,166.29,164.0
212,2.48,59.74,172.56,19.04,22.62,52.61,166.87,170.46
213,7.94,43.56,172.26,27.7,23.89,51.53,167.97,173.22
214,4.44,39.21,172.26,23.77,21.24,44.1,167.49,174.67
215,12.95,45.31,173.31,14.86,27.08,27.63,167.61,177.0
216,32.7,51.03,173.15,8.79,26.4,19.89,167.42,177.29
217,40.09,42.1,173.51,4.22,22.3,21.83,166.94,176.23
218,6.99,42.65,173.84,12.16,19.6,24.15,166.36,179.33
219,6.32,51.16,174.31,16.43,16.97,30.98,166.17,176.89
220,14.27,62.15,175.78,26.8,15.66,33.42,166.59,174.12
221,11.33,76.11,177.42,9.11,15.46,32.03,167.35,160.88
222,7.68,71.11,179.85,17.33,15.21,28.23,168.55,158.5
223,9.74,58.14,179.34,25.66,16.39,21.96,169.57,156.56
224,0.12,24.46,174.94,40.58,16.51,16.75,172.0,156.17
225,6.51,12.13,172.4,38.83,17.41,15.67,173.21,155.88
226,14.51,8.7,171.42,51.31,17.87,14.85,173.26,155.3
227,14.26,6.52,172.17,64.99,18.01,13.97,172.4,156.37
228,15.41,4.52,172.0,78.27,17.44,13.61,171.75,160.35
229,13.96,3.69,171.16,68.49,16.68,13.52,171.83,170.29
230,13.93,4.59,171.21,64.42,16.45,13.5,170.93,170.1
231,13.65,4.48,172.1,57.81,15.74,13.59,169.75,171.57
232,13.71,4.99,175.07,88.96,15.58,13.48,167.78,169.56
233,13.33,5.7,176.47,82.8,16.42,12.92,167.4,166.2
234,12.37,4.4,176.81,53.15,17.93,11.92,167.54,175.79
235,9.62,8.19,176.58,64.39,18.98,10.96,167.89,174.55
236,13.78,9.77,175.45,68.46,20.48,11.62,167.91,175.39
237,28.41,8.36,173.73,67.74,21.37,11.62,167.41,175.03
238,25.71,2.64,166.85,75.17,21.58,13.95,168.66,178.35
239,164.35,4.25,146.84,101.38,23.12,20.97,169.9,179.77
240,114.62,15.29,131.07,173.53,23.18,29.63,173.62,178.06
241,98.46,26.67,125.31,168.92,24.56,38.79,173.62,168.15
242,55.54,57.99,125.11,164.24,26.12,42.46,171.88,170.27
243,38.0,66.54,131.87,153.81,20.56,44.12,168.77,164.88
244,32.86,63.55,136.38,143.1,10.55,40.16,165.74,158.76
245,31.57,63.68,137.08,142.17,1.17,36.31,165.84,162.41
246,31.84,64.26,138.5,142.47,1.95,36.99,165.52,164.03
247,30.28,62.13,142.28,143.63,3.61,34.34,163.84,164.54
248,34.7,62.42,145.91,140.61,8.48,36.11,160.98,169.09
249,38.36,64.52,151.63,144.53,12.59,39.01,157.15,177.47
250,34.65,61.2,153.76,149.5,13.97,38.2,156.36,179.8
251,31.99,51.48,155.0,164.75,15.79,34.91,155.3,173.49
252,52.03,36.59,155.24,167.1,16.55,31.2,156.52,174.25
253,63.5,28.31,156.85,135.53,15.48,27.55,157.37,173.94
254,70.83,18.25,158.63,72.69,14.74,24.62,157.57,174.79
255,95.81,13.82,162.68,161.32,15.09,22.91,157.58,175.61
256,88.46,8.91,167.79,162.92,15.5,23.25,157.57,177.6
257,84.7,3.48,171.74,156.45,18.11,23.45,157.47,179.85
258,42.33,1.21,174.15,133.29,18.26,23.21,158.22,177.66
259,31.51,2.35,174.84,88.89,18.78,23.04,159.88,176.82
260,25.83,2.75,174.12,58.6,19.03,22.41,161.54,178.54
261,29.23,3.44,174.56,67.88,18.62,22.4,161.97,178.86
262,32.8,3.21,174.37,57.47,18.64,22.03,162.22,178.15
263,37.32,3.44,173.3,53.97,18.0,21.18,162.53,171.18
264,16.99,3.52,168.28,143.12,16.46,19.6,163.5,169.39
265,63.22,3.67,158.82,178.36,16.1,19.63,164.31,172.42
266,123.23,10.0,149.71,179.48,18.21,22.84,164.99,173.91
267,106.01,17.44,136.68,177.05,21.59,26.48,171.77,176.22
268,58.82,48.02,133.85,170.89,28.66,32.93,170.11,178.43
269,37.15,91.97,134.92,152.04,27.67,36.25,169.18,168.37
270,34.25,110.71,137.02,143.73,18.59,43.93,166.81,162.21
271,36.47,87.89,135.68,139.33,6.64,36.16,167.69,159.4
272,37.56,86.58,137.22,139.0,7.35,36.77,165.04,159.35
273,36.75,81.51,139.13,141.74,12.22,33.96,163.48,162.35
274,37.0,83.78,139.9,140.33,14.14,34.59,163.75,160.06
275,47.71,98.33,140.3,145.81,17.93,33.71,163.28,165.1
276,47.24,99.53,143.59,150.49,18.65,30.23,163.77,168.76
277,50.42,93.13,147.03,161.28,17.42,26.69,162.06,179.59
278,45.09,82.92,153.62,162.39,16.02,24.89,158.24,173.54
279,26.11,57.57,158.71,174.92,14.95,27.37,157.71,171.26
280,15.47,27.21,163.95,136.51,14.33,31.47,157.22,173.75
281,10.12,15.81,167.45,118.08,12.74,35.15,159.41,176.01
282,9.31,14.69,169.89,121.3,11.04,37.46,162.11,176.2
283,11.18,19.84,171.63,155.99,9.31,37.75,164.79,176.69
284,11.88,16.32,172.84,158.09,8.11,33.87,166.92,178.78
285,17.05,10.08,174.71,133.64,7.55,29.84,166.63,173.38
286,24.58,3.62,175.41,92.97,6.91,28.83,166.83,172.55
287,26.86,6.27,173.91,75.36,5.15,20.05,169.1,161.35
288,30.88,39.49,172.88,65.33,4.05,17.88,170.88,147.86
289,34.84,117.47,171.84,58.05,3.65,12.0,172.48,141.58
290,38.69,119.89,171.1,49.85,2.55,3.88,174.85,140.63
291,37.68,119.51,170.68,44.11,1.05,0.93,176.46,140.92
292,36.25,126.9,172.16,36.86,0.87,1.54,175.55,142.75
293,35.23,140.63,175.42,10.94,0.58,4.0,174.77,140.87
294,24.2,151.17,179.83,0.53,5.69,8.89,175.66,142.49
295,15.54,76.73,175.51,7.15,16.47,11.94,178.03,143.26
296,7.63,16.3,172.71,5.69,25.04,17.91,179.23,145.68
297,2.79,13.92,172.31,10.44,29.55,19.85,179.29,142.89
298,0.55,12.15,173.44,41.23,30.31,19.04,177.65,143.36
299,1.36,16.78,173.18,48.26,28.41,19.34,177.58,144.23
300,0.71,18.33,173.9,41.7,26.29,20.89,177.81,146.27
301,5.83,27.61,174.05,32.01,24.07,20.97,178.33,147.23
302,11.24,71.18,174.07,32.41,23.53,21.14,178.77,146.02
303,14.22,132.66,176.64,39.4,22.26,19.78,179.99,147.38
304,9.5,158.56,178.63,38.06,21.34,17.5,179.44,149.18
305,19.25,175.85,175.51,44.8,20.31,15.79,175.93,157.38
306,24.38,168.65,175.19,78.11,19.28,13.81,172.79,159.27
307,30.2,155.12,172.62,81.98,15.64,16.07,173.63,166.6
308,31.47,17.32,172.87,75.65,12.31,17.22,173.09,168.28
309,33.05,12.03,173.43,81.15,10.35,16.89,172.58,169.7
310,34.14,12.06,175.06,158.29,8.75,17.65,170.94,171.79
311,32.78,8.53,176.16,170.68,7.88,19.93,169.34,173.69
312,32.15,13.77,177.62,177.5,8.37,22.23,167.32,175.09
313,32.15,17.59,178.06,173.01,8.27,22.56,166.59,175.22
314,31.76,19.79,178.07,160.3,7.97,21.8,166.44,173.28
315,33.77,23.39,177.52,147.44,6.77,22.91,166.85,170.08
316,34.08,43.05,177.28,137.78,7.17,23.1,167.21,168.35
317,36.05,103.18,175.12,81.07,6.38,18.08,170.31,159.7
318,37.95,116.97,172.58,66.44,4.76,11.2,173.98,148.47
319,37.11,125.67,170.81,51.22,3.02,8.0,176.1,143.82
320,38.17,136.53,171.87,39.03,1.73,7.98,174.64,144.39
321,28.32,142.56,174.16,10.26,3.57,7.04,173.67,143.95
322,22.9,153.39,176.33,4.04,8.36,7.85,175.05,145.06
323,12.67,161.65,179.55,6.06,18.1,11.07,176.29,145.51
324,1.71,65.01,174.76,8.36,27.58,14.21,176.46,144.24
325,2.44,21.12,172.57,4.59,31.68,14.85,177.01,145.03
326,5.64,21.16,172.51,21.15,32.07,13.92,179.68,157.73
327,5.05,22.1,173.53,13.17,32.09,11.68,179.54,154.79
328,5.56,24.39,174.0,8.94,30.42,12.57,179.58,160.9
329,6.29,28.79,173.47,7.59,29.2,14.28,179.94,159.52
330,4.71,53.76,174.3,13.6,26.82,15.62,179.67,157.92
331,0.41,127.29,175.9,9.22,25.55,17.47,178.81,157.45
332,8.36,160.86,177.51,0.78,24.35,17.29,176.86,156.88
333,11.83,179.78,179.04,12.23,23.88,14.9,173.79,155.08
334,11.71,171.55,177.77,22.6,21.69,13.05,173.4,152.06
335,19.15,172.36,176.21,30.38,19.18,13.61,172.39,151.99
336,26.77,177.69,175.01,34.63,15.71,12.7,171.86,152.18
337,31.57,142.18,173.62,38.05,13.13,16.09,170.75,155.02
338,34.71,12.22,175.17,42.58,12.28,15.02,168.68,165.53
339,36.53,9.5,175.26,64.9,11.54,15.47,168.54,166.6
340,36.79,13.91,176.69,73.47,12.41,16.01,166.39,167.21
341,36.35,11.37,177.03,125.34,12.68,14.97,165.5,170.08
342,37.17,17.51,178.91,141.89,14.51,16.73,163.01,173.65
343,38.16,22.47,179.5,150.84,16.12,18.85,160.66,176.47
344,42.31,30.01,178.77,152.5,16.64,21.71,159.78,178.04
345,54.27,34.18,178.31,162.6,16.9,22.17,159.51,179.35
346,70.57,41.43,178.12,167.68,19.64,22.75,159.58,179.16
347,87.05,55.8,178.51,170.53,20.89,21.43,160.09,178.28
348,101.92,94.08,178.78,167.49,22.32,21.5,160.54,177.24
349,111.75,119.33,179.54,163.17,22.55,18.44,161.23,171.23
350,118.51,134.66,179.14,162.79,23.21,16.05,162.07,170.6
351,126.3,149.15,178.73,164.41,23.69,15.55,162.41,171.18
352,128.31,154.67,178.79,162.81,25.3,14.79,162.55,169.83
353,126.01,165.81,178.84,162.42,27.6,14.9,162.8,170.41
354,123.61,175.46,178.91,177.24,30.09,13.05,162.78,179.67
355,118.31,167.5,179.56,176.18,32.68,4.16,162.86,178.41
356,116.23,165.65,179.59,173.23,34.04,0.8,162.97,176.72
357,114.08,156.52,179.97,171.82,35.39,4.32,162.74,175.04
358,112.01,152.21,179.53,169.87,36.46,4.75,163.16,172.67
359,109.3,155.57,179.58,167.46,37.86,5.79,163.72,171.5
360,106.63,155.8,179.6,168.61,38.16,6.57,165.01,169.04
361,105.05,151.84,178.65,166.45,38.48,8.22,164.59,167.1
362,101.66,150.3,178.31,160.77,39.54,8.39,164.54,165.06
363,99.33,155.68,178.08,151.75,39.62,6.95,164.6,161.81
364,97.27,150.79,177.55,139.32,38.53,7.53,164.36,157.47
365,96.38,,177.44,130.32,38.0,,164.11,153.55
366,97.36,,177.36,130.01,36.76,,164.42,151.52
