frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
65,2.69,93.09,51.33,64.55,173.58,175.37,25.48,24.42,102.16,115.81
66,3.72,98.99,57.92,64.56,169.7,175.48,27.56,22.24,103.78,115.8
67,2.49,109.51,64.39,63.74,166.51,175.06,30.24,20.02,105.75,115.6
68,2.74,133.44,70.85,62.58,165.61,175.33,31.99,17.29,106.38,115.56
69,1.67,153.12,75.83,61.18,166.19,176.17,38.38,14.95,107.28,115.35
70,0.29,162.3,85.8,58.51,169.72,179.77,45.13,12.14,106.91,114.3
71,1.08,163.85,99.02,54.57,172.84,179.46,55.75,8.55,106.34,115.88
72,1.76,166.41,113.23,48.24,178.06,177.84,65.57,5.31,105.64,115.07
73,1.43,169.79,129.99,42.26,177.37,176.4,77.19,4.81,108.5,112.44
74,0.14,170.85,148.43,38.47,175.66,177.79,86.58,5.55,109.5,113.72
75,0.88,174.78,157.51,36.67,175.38,178.97,90.22,4.78,108.29,116.29
76,1.25,177.47,156.18,36.47,173.81,179.82,88.74,4.84,106.06,119.82
77,0.97,178.97,148.62,37.8,171.74,177.58,83.94,5.82,105.66,119.77
78,0.81,179.11,143.82,39.35,170.82,175.75,81.43,6.81,105.25,119.99
79,0.26,178.1,110.45,40.28,169.49,173.48,61.2,6.63,104.18,119.32
80,0.62,173.52,86.45,43.02,168.83,172.33,47.37,9.06,107.22,115.25
81,1.45,157.83,67.4,47.89,173.21,179.98,36.58,11.81,107.11,116.37
82,1.27,138.64,56.29,52.59,179.74,173.24,27.93,13.53,105.69,118.22
83,0.62,127.41,44.65,53.57,177.67,174.23,17.29,14.24,105.96,115.83
84,0.79,128.1,35.96,53.38,178.33,175.06,11.01,14.67,105.21,114.09
85,2.05,131.52,31.7,53.41,179.01,174.98,8.45,15.69,104.6,112.85
86,3.25,132.97,30.28,53.61,178.86,176.38,7.87,15.96,102.51,111.82
87,2.75,132.06,31.51,55.36,177.21,177.34,10.01,16.51,101.64,111.49
88,2.49,138.3,32.85,54.45,175.14,177.97,14.18,16.13,101.02,111.44
89,2.77,144.23,33.6,52.19,174.07,177.86,16.8,15.57,100.77,111.77
90,2.49,148.0,33.83,49.82,174.18,177.14,18.98,14.54,100.68,112.15
91,2.46,152.94,35.07,49.1,174.53,177.04,19.91,13.93,100.7,112.29
92,2.8,153.28,35.67,48.64,174.04,176.75,20.4,14.35,101.49,111.97
93,2.69,153.28,36.13,48.67,172.9,176.96,20.82,15.13,103.77,110.72
94,1.93,155.43,35.58,47.61,172.98,176.44,21.34,15.48,103.67,111.62
95,0.85,154.45,35.1,47.1,171.63,176.94,21.72,16.62,105.45,111.42
96,3.41,152.59,33.95,47.07,170.94,178.61,21.39,17.69,105.35,110.59
97,4.06,150.05,33.19,45.28,170.91,171.15,19.76,18.28,104.99,108.39
98,3.59,142.51,33.18,45.13,172.14,161.16,18.54,19.39,103.86,104.42
99,1.65,130.36,33.45,45.27,175.28,155.21,16.56,21.99,102.11,102.72
100,5.34,7.16,32.8,48.98,176.71,150.51,6.86,26.27,99.64,103.9
101,13.39,6.49,179.74,49.71,176.34,144.56,5.8,30.43,103.96,97.71
102,7.04,0.06,48.28,59.06,176.71,136.91,17.54,39.9,106.12,89.66
103,4.47,0.19,59.29,76.38,173.93,135.82,4.51,54.72,112.01,85.56
104,10.37,0.05,,102.11,167.49,138.05,,68.17,125.2,79.76
105,60.01,1.84,,133.84,168.41,137.8,,85.62,117.76,87.51
106,28.1,2.49,,159.19,164.91,136.8,,97.6,121.8,86.68
107,12.58,2.21,,167.33,159.87,136.69,,101.53,62.57,85.91
108,7.11,1.87,,170.39,158.54,136.21,,101.68,60.29,88.39
109,,1.47,,166.87,157.56,134.25,,99.01,60.89,88.9
110,,1.38,,161.29,157.37,135.39,,95.93,65.07,83.85
111,,0.99,,156.46,157.1,134.59,,91.15,21.01,170.26
112,,0.57,,157.92,158.57,133.68,,89.91,112.42,96.51
113,,0.32,,130.98,159.62,134.04,,75.02,113.56,91.96
114,,0.34,,100.43,160.98,138.71,,58.35,113.06,93.37
115,,0.76,,83.45,164.16,146.0,,40.89,111.25,95.33
116,,11.03,,64.7,166.55,149.61,,30.42,109.79,95.84
117,,24.01,,55.64,167.75,153.04,,21.12,106.78,98.54
118,,61.78,,46.68,168.42,158.55,,16.59,105.94,103.07
119,,94.81,,44.58,169.06,163.28,,14.68,104.78,107.12
120,,109.77,,45.71,168.39,167.63,,14.85,107.49,107.32
121,,125.42,,48.45,169.23,173.65,,16.82,108.22,109.85
122,5.0,121.55,,52.99,169.64,176.37,,19.91,107.81,111.94
123,4.56,82.2,,57.89,168.76,176.11,,21.47,109.34,110.9
124,5.57,34.24,,58.15,169.88,174.14,,21.1,110.87,108.47
125,3.42,1.37,,58.91,172.11,175.9,,20.71,110.09,109.08
126,5.7,2.0,,60.7,174.5,176.24,,22.29,107.95,109.8
127,0.77,37.84,,60.6,176.53,177.03,,23.22,106.39,110.44
128,0.07,133.18,,59.09,176.94,176.09,,23.43,106.36,109.31
129,1.16,158.73,,57.22,176.55,174.4,,23.61,105.25,109.29
130,0.28,153.85,20.17,55.67,175.94,174.44,21.07,24.21,102.92,110.78
131,5.62,151.34,23.72,54.02,168.59,168.51,21.6,22.6,105.78,109.6
132,5.4,149.92,24.93,54.39,163.2,156.95,20.77,20.34,106.92,106.43
133,0.75,120.05,,50.7,162.01,152.36,,19.89,105.78,107.03
134,20.37,63.88,,45.64,164.45,142.36,,19.16,110.77,95.8
135,9.54,18.89,,43.14,166.45,137.57,,22.02,109.54,95.49
136,6.46,6.48,,50.17,168.34,131.59,,30.46,110.8,90.03
137,11.19,2.84,,67.36,162.15,128.51,,46.17,121.64,83.59
138,78.17,5.82,,82.29,160.06,132.75,,63.74,153.34,56.5
139,,8.19,,112.86,158.27,133.38,,81.94,63.54,84.11
140,,7.6,,145.59,158.89,134.59,,98.48,62.74,83.34
141,,6.28,,164.61,159.26,135.41,,105.4,62.19,83.6
142,,5.68,,169.1,158.56,137.06,,107.13,61.46,82.8
