frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
0,80.06,54.53,48.11,30.1,173.15,119.98,17.57,8.21,111.04,103.1
1,79.95,53.8,47.39,28.65,172.89,121.06,16.91,8.51,113.74,99.38
2,79.27,53.15,44.37,25.27,172.06,123.26,16.91,10.3,114.25,97.02
3,80.61,51.32,40.39,21.79,170.98,127.71,17.31,13.32,113.62,95.23
4,83.92,49.17,34.91,20.21,169.77,131.15,17.67,15.45,112.12,93.6
5,88.73,43.95,29.11,18.18,168.39,134.72,17.67,19.41,111.74,91.48
6,96.79,47.09,24.8,13.38,168.14,139.45,18.05,21.72,112.14,86.91
7,102.65,36.14,21.55,15.93,167.52,143.71,17.27,23.73,112.08,84.5
8,109.96,33.84,17.97,15.88,167.58,146.27,16.9,24.58,109.47,84.15
9,114.75,29.62,16.43,15.17,168.43,147.01,16.35,26.18,109.76,83.65
10,116.76,26.67,16.05,15.33,168.57,148.35,16.09,27.24,109.52,83.05
11,117.54,21.73,16.34,16.09,167.9,147.72,15.74,28.12,108.85,84.27
12,116.96,24.13,16.68,14.88,167.82,145.81,14.84,28.67,108.29,86.57
13,119.24,25.28,18.23,14.48,168.96,145.37,13.66,28.48,108.32,87.28
14,118.51,25.7,19.39,13.73,169.74,141.22,12.46,26.69,107.63,90.08
15,124.28,28.05,19.64,12.99,170.7,138.07,11.42,24.58,107.7,91.6
16,116.9,44.1,20.2,10.04,171.75,137.06,11.1,21.35,108.49,90.54
17,110.73,54.96,20.81,6.25,172.17,138.43,10.68,19.58,107.98,89.38
18,106.86,56.45,21.54,5.61,172.03,134.81,10.86,18.86,106.56,88.84
19,105.58,55.48,22.13,5.96,172.43,139.88,11.12,18.57,106.92,87.81
20,107.01,44.99,22.63,9.52,172.84,142.98,11.28,19.26,106.39,88.36
21,107.36,36.46,22.61,11.34,172.99,141.4,11.49,20.32,106.17,88.17
22,108.77,31.12,22.05,13.49,172.93,143.77,11.71,21.52,106.34,88.37
23,109.46,27.84,21.72,14.32,172.82,142.81,11.51,22.25,105.0,91.37
