frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
95,25.77,10.86,160.21,173.24,29.96,10.25,177.11,176.99
96,165.22,14.52,144.23,177.03,35.59,10.26,176.92,175.08
97,179.74,13.22,133.27,162.12,45.72,10.46,171.83,169.52
98,99.0,55.65,130.75,153.24,54.79,6.39,168.4,170.38
99,44.19,60.74,128.77,140.54,56.67,7.42,165.72,168.65
100,37.15,81.06,128.7,139.76,59.42,11.09,166.34,168.72
101,31.07,96.96,132.78,147.2,64.37,16.02,167.92,168.94
102,53.31,96.81,134.77,155.66,41.22,16.18,168.26,171.55
103,67.49,88.07,134.99,163.56,22.75,14.77,167.69,172.11
104,54.26,82.46,138.23,165.21,29.6,13.76,168.67,172.46
105,43.89,77.06,141.28,159.16,35.38,14.9,168.68,171.73
106,38.58,67.99,145.91,158.23,38.85,16.03,171.81,171.85
107,31.82,64.93,150.82,158.43,40.03,14.88,176.12,173.28
108,21.56,63.03,155.51,164.77,37.52,13.46,179.72,174.51
109,13.27,52.75,156.95,166.42,34.76,13.56,179.38,174.36
110,7.73,39.95,160.84,159.71,29.63,16.16,177.81,173.75
111,2.91,22.21,166.6,169.29,24.44,16.4,174.52,175.92
112,0.73,19.01,172.13,161.01,22.01,17.23,171.73,173.68
113,4.36,18.59,176.2,158.13,19.92,16.38,169.45,172.26
114,9.15,16.19,179.59,156.64,19.14,16.13,167.36,173.84
115,6.52,12.39,179.91,155.7,19.02,15.03,167.8,173.68
116,9.47,10.87,179.23,152.77,19.56,14.43,168.29,172.72
117,10.75,10.65,178.36,156.78,20.61,14.35,168.25,174.14
118,9.24,11.07,177.65,156.95,21.25,14.28,168.54,173.88
119,4.44,13.13,169.75,165.85,24.4,14.11,170.56,178.65
120,101.07,14.74,155.31,174.11,34.76,15.16,175.43,178.21
121,76.08,19.79,142.23,179.03,50.57,18.74,176.4,173.78
122,45.98,31.76,136.02,158.52,59.48,19.8,170.81,169.69
123,31.91,36.95,131.87,157.86,60.61,15.18,166.19,170.54
124,31.03,52.38,129.34,155.47,62.24,17.18,165.45,171.33
125,33.44,72.97,131.16,152.05,62.18,18.02,165.36,172.13
126,45.61,83.46,132.87,154.17,50.91,18.46,166.38,169.73
127,50.88,77.96,134.84,167.24,42.37,14.99,166.94,170.27
128,47.4,76.66,134.54,168.55,44.19,15.4,167.23,169.28
129,42.92,71.96,137.07,174.69,43.65,18.13,168.64,172.06
130,33.33,71.49,139.44,174.32,44.12,21.15,169.61,172.5
131,19.17,65.41,144.15,174.96,42.71,20.45,172.19,173.99
132,12.14,62.29,146.35,166.82,40.12,21.84,175.39,172.02
133,6.97,53.87,147.17,164.47,34.3,22.62,176.5,171.65
134,2.45,42.98,148.54,167.64,28.11,22.42,177.07,173.02
135,6.0,39.45,153.35,172.9,24.13,21.5,179.71,175.84
136,8.12,36.63,160.42,163.1,19.14,20.47,177.54,177.01
137,8.92,35.83,168.51,158.42,15.88,20.47,174.02,176.69
138,19.74,32.29,172.98,156.86,14.08,20.51,171.47,174.63
139,25.73,31.67,176.14,152.56,12.09,20.5,169.66,174.38
140,28.83,27.02,177.63,155.3,10.52,20.31,169.25,174.6
141,30.84,27.13,177.56,157.8,8.98,19.42,169.61,174.89
142,32.02,30.69,177.04,153.23,8.83,14.86,170.88,174.15
143,32.26,38.98,175.19,92.14,7.63,8.97,173.24,171.36
144,32.38,48.41,173.74,82.48,7.22,5.95,174.83,159.36
145,32.52,60.27,172.27,72.03,4.89,6.08,176.13,155.56
146,36.25,66.79,172.73,68.62,1.84,6.97,174.95,154.54
147,29.5,89.61,173.67,55.43,0.01,11.63,174.19,155.25
148,20.81,141.35,175.24,54.94,5.46,52.23,173.11,156.62
149,11.33,141.84,176.39,49.75,10.59,65.02,172.28,162.59
150,0.53,2.41,176.45,45.7,15.84,71.47,172.72,171.95
151,2.51,19.9,177.19,19.95,18.72,67.08,172.54,174.7
152,1.43,32.97,178.69,7.23,18.39,53.37,172.44,175.37
153,3.12,53.67,179.8,9.47,18.99,22.79,172.72,176.69
154,5.44,60.99,179.84,9.39,21.0,4.76,172.24,179.21
155,15.52,56.91,178.55,9.8,18.42,2.71,169.66,177.58
156,1.0,45.43,178.88,16.25,17.56,9.33,168.16,178.09
157,2.49,41.29,178.4,18.21,18.62,18.43,168.43,178.62
158,4.84,34.98,176.64,19.25,18.7,29.26,168.95,179.75
159,3.14,28.27,176.28,23.19,19.11,34.66,168.72,176.28
160,2.24,22.82,176.22,29.15,18.91,37.73,168.69,169.03
161,2.22,13.98,176.41,28.85,18.14,37.8,168.84,166.97
162,2.27,9.43,176.46,42.2,17.71,38.22,169.82,163.56
163,10.03,8.69,176.91,55.72,15.92,38.9,169.75,160.43
164,18.04,8.32,176.95,63.22,13.43,38.38,170.16,161.12
165,23.97,10.23,177.22,66.56,12.56,37.63,170.2,161.79
166,26.02,14.21,176.96,53.42,10.47,34.34,171.15,165.83
167,27.92,4.19,177.14,50.54,10.13,29.82,172.69,166.03
168,27.83,109.43,177.7,49.86,9.77,27.17,174.51,165.04
169,27.63,119.78,176.61,53.21,9.86,26.53,176.19,163.77
170,28.52,124.8,176.23,54.34,8.96,27.86,177.29,163.34
171,26.67,134.86,175.9,54.29,8.24,34.4,177.34,163.23
172,24.32,130.22,179.1,43.0,9.42,45.95,174.04,162.15
173,16.16,116.93,179.95,46.87,11.77,67.82,172.1,165.71
174,8.15,43.87,179.27,39.59,14.2,77.03,170.49,170.54
175,2.27,28.38,178.66,33.33,16.52,75.39,169.99,175.27
176,0.14,30.69,176.79,29.59,18.93,68.77,169.48,176.36
177,12.03,35.41,172.25,21.96,21.21,57.91,167.2,178.88
178,165.78,41.55,169.68,171.46,20.56,43.4,165.11,177.55
179,39.14,39.38,167.38,150.91,19.21,38.66,162.48,175.16
180,6.62,35.01,167.01,2.16,20.77,39.69,159.78,175.34
181,6.66,33.55,166.92,9.69,21.33,47.18,158.56,174.79
182,8.1,35.74,167.55,4.84,21.44,51.11,158.54,175.23
183,6.43,37.42,168.54,5.83,21.74,53.04,158.69,175.09
184,5.77,37.31,168.98,3.97,21.73,52.05,159.09,177.44
185,7.73,34.94,169.73,4.54,22.0,48.54,160.24,176.99
186,7.06,32.3,171.11,28.67,21.13,44.15,162.59,169.4
187,0.75,24.62,171.7,35.38,19.65,36.12,163.46,168.72
188,6.24,18.92,174.21,46.52,18.68,29.15,165.81,168.2
189,11.75,12.96,177.15,47.93,16.61,24.1,170.83,169.31
190,19.1,8.82,172.96,56.72,15.0,21.26,173.37,169.6
191,21.25,6.1,167.34,68.01,14.54,18.93,176.03,167.98
192,25.23,3.69,167.85,75.73,14.01,17.26,175.38,166.66
193,24.72,1.94,171.06,86.63,13.39,16.07,172.82,166.42
194,24.19,2.45,173.2,91.38,13.11,16.09,172.05,167.51
195,27.33,2.99,174.06,92.99,13.55,16.23,172.23,167.89
196,30.49,3.6,175.06,96.79,12.97,16.44,172.14,169.9
197,32.32,1.75,175.74,102.68,12.83,16.22,172.04,170.6
198,33.25,1.14,176.13,112.85,12.43,16.33,172.43,171.75
199,37.67,0.87,176.3,113.17,12.63,18.7,172.89,174.98
200,47.46,1.54,176.44,112.31,13.45,20.92,171.81,176.45
201,67.13,2.93,176.42,116.98,13.1,23.65,169.3,177.84
202,111.94,4.83,174.41,147.73,15.4,28.83,167.15,178.65
203,143.59,6.13,166.99,166.36,17.38,37.09,166.05,179.83
204,151.94,15.13,147.77,162.74,21.24,45.77,171.11,177.86
205,155.68,19.17,146.2,172.79,16.33,51.09,171.58,178.42
206,112.63,27.56,144.2,167.38,11.16,56.87,171.17,172.19
207,87.38,45.31,143.43,163.76,8.53,57.79,169.6,171.5
